r,gN,a0,y_gN_over_a0,nu_simple,alpha_sqrt_nu,gA_gN_times_nu,gB_gN_times_alpha2,abs_err,rel_err
27.284142071035518,1.343319736042135,0.5,2.68663947208427,1.2888042876887935,1.1352551641321846,1.731276235548082,1.731276235548082,0.0,0.0
27.30910455227614,1.340865077153669,0.5,2.681730154307338,1.2892360836426415,1.135445323933584,1.7286916407627846,1.7286916407627846,0.0,0.0
27.33406703351676,1.3384171402498717,0.5,2.6768342804997434,1.2896680380364864,1.1356355216514171,1.726113807340457,1.7261138073404567,2.220446049250313e-16,1.2863845013044117e-16
27.35902951475738,1.3359759008092822,0.5,2.6719518016185644,1.290100150610467,1.1358257571522434,1.7235427108460093,1.7235427108460093,0.0,0.0
27.383991995998,1.3335413344221543,0.5,2.6670826688443086,1.290532421105195,1.1360160303029156,1.7209783269556753,1.7209783269556753,0.0,0.0
27.40895447723862,1.3311134167898448,0.5,2.6622268335796897,1.290964849261754,1.13620634097058,1.7184206314564003,1.7184206314564003,0.0,0.0
27.43391695847924,1.3286921237242102,0.5,2.6573842474484204,1.2913974348217003,1.136396689022676,1.7158696002452423,1.7158696002452427,4.440892098500626e-16,2.5881291316460804e-16
27.458879439719862,1.3262774311470014,0.5,2.6525548622940027,1.2918301775270598,1.1365870743269342,1.7133252093287636,1.7133252093287636,0.0,0.0
27.483841920960483,1.3238693150892664,0.5,2.647738630178533,1.292263077120329,1.136777496751378,1.7107874348224377,1.7107874348224381,4.440892098500626e-16,2.595817579734297e-16
27.5088044022011,1.321467751690756,0.5,2.642935503381512,1.2926961333444735,1.1369679561643211,1.7082562529500551,1.7082562529500551,0.0,0.0
27.53376688344172,1.3190727171993308,0.5,2.6381454343986617,1.2931293459429276,1.1371584524343683,1.705731640043131,1.7057316400431306,4.440892098500626e-16,2.6035115924732066e-16
27.558729364682343,1.3166841879703757,0.5,2.6333683759407513,1.293562714659593,1.1373489854304144,1.7032135725403208,1.7032135725403208,0.0,0.0
27.583691845922964,1.3143021404662165,0.5,2.628604280932433,1.2939962392388382,1.1375395550216434,1.7007020269868394,1.7007020269868398,4.440892098500626e-16,2.6112111516493133e-16
27.608654327163585,1.3119265512555383,0.5,2.6238531025110765,1.2944299194254987,1.1377301610775283,1.6981969800338788,1.6981969800338788,0.0,0.0
27.633616808404202,1.309557397012811,0.5,2.619114794025622,1.2948637549648743,1.1379208034678312,1.6956984084380349,1.6956984084380353,4.440892098500626e-16,2.61891623911547e-16
27.658579289644823,1.3071946545177155,0.5,2.614389309035431,1.29529774560273,1.1381114820626008,1.6932062890607364,1.693206289060736,4.440892098500626e-16,2.622770850304424e-16
27.683541770885444,1.3048383006545754,0.5,2.609676601309151,1.2957318910852949,1.138302196732175,1.6907205988676755,1.690720598867676,4.440892098500626e-16,2.626626836790668e-16
27.708504252126065,1.3024883124117919,0.5,2.6049766248235837,1.2961661911592606,1.1384929473471763,1.6882413149282454,1.688241314928245,4.440892098500626e-16,2.6304841963243716e-16
27.733466733366683,1.3001446668812813,0.5,2.6002893337625625,1.2966006455717811,1.1386837337785154,1.6857684144149776,1.6857684144149774,2.220446049250313e-16,1.317171463329907e-16
27.758429214607304,1.2978073412579165,0.5,2.595614682515833,1.2970352540704722,1.1388745558973878,1.6833018746029857,1.683301874602986,2.220446049250313e-16,1.319101512777686e-16
27.783391695847925,1.2954763128389735,0.5,2.590952625677947,1.2974700164034103,1.1390654135752742,1.6808416728694124,1.6808416728694127,2.220446049250313e-16,1.3210322453867572e-16
27.808354177088546,1.2931515590235785,0.5,2.586303118047157,1.2979049323191323,1.1392563066839403,1.678387786692878,1.678387786692878,0.0,0.0
27.833316658329167,1.2908330573121618,0.5,2.5816661146243236,1.2983400015666333,1.1394472350954359,1.6759401936529341,1.6759401936529346,4.440892098500626e-16,2.649791511247852e-16
27.858279139569785,1.2885207853059124,0.5,2.577041570611825,1.2987752238953676,1.1396381986820938,1.6734988714295214,1.6734988714295214,0.0,0.0
27.883241620810406,1.2862147207062358,0.5,2.5724294414124715,1.2992105990552472,1.1398291973165309,1.671063797802426,1.671063797802426,0.0,0.0
27.908204102051027,1.283914841314219,0.5,2.567829682628438,1.2996461267966404,1.1400202308716456,1.6686349506507479,1.6686349506507476,2.220446049250313e-16,1.3306961168375177e-16
27.933166583291648,1.2816211250300948,0.5,2.5632422500601897,1.3000818068703728,1.1402112992206193,1.6662123079523656,1.6662123079523654,2.220446049250313e-16,1.3326309250344296e-16
27.95812906453227,1.279333549852711,0.5,2.558667099705422,1.3005176390277244,1.1404024022369141,1.6637958477834052,1.6637958477834052,0.0,0.0
27.983091545772886,1.277052093879003,0.5,2.554104187758006,1.30095362302043,1.140593539794273,1.6613855483177153,1.6613855483177153,0.0,0.0
28.008054027013507,1.2747767353034691,0.5,2.5495534706069383,1.3013897586006786,1.14078471176672,1.6589813878263429,1.6589813878263426,2.220446049250313e-16,1.338439397538764e-16
28.03301650825413,1.2725074524176494,0.5,2.545014904835299,1.301826045521112,1.1409759180285586,1.656583344677013,1.656583344677013,0.0,0.0
28.05797898949475,1.2702442236096096,0.5,2.5404884472192193,1.3022624835348244,1.1411671584543714,1.654191397333615,1.654191397333615,0.0,0.0
28.08294147073537,1.2679870273634242,0.5,2.5359740547268483,1.3026990723953618,1.1413584329190203,1.6518055243556848,1.6518055243556848,0.0,0.0
28.107903951975988,1.2657358422586669,0.5,2.5314716845173337,1.3031358118567207,1.1415497412976452,1.649425704397898,1.649425704397898,0.0,0.0
28.13286643321661,1.2634906469699005,0.5,2.526981293939801,1.3035727016733476,1.1417410834656636,1.6470519162095592,1.647051916209559,2.220446049250313e-16,1.3481336121816572e-16
28.15782891445723,1.2612514202661742,0.5,2.5225028405323484,1.3040097416001388,1.1419324592987707,1.644684138634102,1.6446841386341016,4.440892098500626e-16,2.700148918678546e-16
28.18279139569785,1.2590181410105201,0.5,2.5180362820210402,1.3044469313924383,1.1421238686729378,1.6423223506085851,1.642322350608585,2.220446049250313e-16,1.3520159720334416e-16
28.20775387693847,1.2567907881594549,0.5,2.5135815763189098,1.3048842708060389,1.142315311464413,1.6399665311631972,1.6399665311631968,4.440892098500626e-16,2.707916298359324e-16
28.23271635817909,1.2545693407624834,0.5,2.5091386815249668,1.305321759597179,1.1425067875497192,1.6376166594207577,1.6376166594207582,4.440892098500626e-16,2.7118019793908404e-16
28.25767883941971,1.2523537779616079,0.5,2.5047075559232157,1.3057593975225448,1.142698296805655,1.6352727145962318,1.6352727145962316,2.220446049250313e-16,1.3578444925001805e-16
28.282641320660332,1.2501440789908356,0.5,2.500288157981671,1.3061971843392666,1.1428898391092934,1.632934675996235,1.632934675996235,0.0,0.0
28.307603801900953,1.247940223175695,0.5,2.49588044635139,1.3066351198049206,1.1430814143379817,1.6306025230185537,1.6306025230185537,0.0,0.0
28.33256628314157,1.2457421899327505,0.5,2.491484379865501,1.3070732036775259,1.1432730223693401,1.628276235151657,1.6282762351516569,2.220446049250313e-16,1.3636789638727986e-16
28.35752876438219,1.243549958769122,0.5,2.487099917538244,1.3075114357155455,1.1434646630812626,1.6259557919742222,1.625955791974222,2.220446049250313e-16,1.3656251050677496e-16
28.382491245622813,1.2413635092820074,0.5,2.482727018564015,1.3079498156778846,1.143656336351915,1.6236411731546536,1.6236411731546536,0.0,0.0
28.407453726863434,1.2391828211582085,0.5,2.478365642316417,1.30838834332389,1.1438480420597354,1.621332358450613,1.6213323584506132,2.220446049250313e-16,1.3695193571367616e-16
28.432416208104055,1.237007874173658,0.5,2.474015748347316,1.3088270184133497,1.144039780083433,1.619029327708545,1.619029327708545,0.0,0.0
28.457378689344672,1.2348386481929527,0.5,2.4696772963859055,1.3092658407064914,1.1442315503019882,1.6167320608632136,1.6167320608632136,0.0,0.0
28.482341170585293,1.2326751231688837,0.5,2.4653502463377674,1.3097048099639825,1.1444233525946517,1.6144405379372315,1.6144405379372313,2.220446049250313e-16,1.375365643436688e-16
28.507303651825914,1.2305172791419774,0.5,2.461034558283955,1.3101439259469294,1.1446151868409442,1.612154739040604,1.6121547390406041,2.220446049250313e-16,1.3773157101356812e-16
28.532266133066535,1.2283650962400325,0.5,2.456730192480065,1.3105831884168755,1.144807052920655,1.609874644370264,1.6098746443702643,2.220446049250313e-16,1.379266427367633e-16
28.557228614307157,1.2262185546776636,0.5,2.452437109355327,1.3110225971358023,1.1449989507138434,1.6076002342096203,1.6076002342096203,0.0,0.0
28.582191095547774,1.2240776347558466,0.5,2.4481552695116933,1.311462151866127,1.145190880100836,1.6053314889281016,1.6053314889281018,2.220446049250313e-16,1.383169809204285e-16
28.607153576788395,1.221942316861465,0.5,2.44388463372293,1.311901852370703,1.1453828409622273,1.6030683889807043,1.6030683889807043,0.0,0.0
28.632116058029016,1.219812581466863,0.5,2.439625162933726,1.3123416984128178,1.1455748331788795,1.6008109149075467,1.6008109149075467,0.0,0.0
28.657078539269637,1.2176884091293982,0.5,2.4353768182587965,1.3127816897561941,1.1457668566319215,1.5985590473334232,1.5985590473334232,0.0,0.0
